id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc,agent_category,status_checked_at,status_filter
156969,Nghị quyết số 61/2022/NQ-HĐND Về việc Quy định hỗ trợ kinh phí đóng Bảo hiểm y tế đối với một số nhóm đối tượng có đăng ký thường trú trên địa bàn tỉnh Ninh Bình,61/2022/NQ-HĐND,27/10/2022,Nghị quyết,08/11/2022,,,,,Chưa phân loại,HĐND Tỉnh Ninh Bình,Phó Chủ tịch,Bùi Hoàng Hà,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
157127,Nghị quyết số 18/2022/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho người thuộc hộ gia đình cận nghèo trên địa bàn tỉnh Bến Tre,18/2022/NQ-HĐND,07/10/2022,Nghị quyết,17/10/2022,,,,Y tế,Bảo hiểm y tế,HĐND tỉnh Bến Tre,,,,,Còn hiệu lực,bhyt,2026-08-18,Còn hiệu lực
157394,"Quyết định số 27/2020/QĐ-UBND Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Ninh Thuận",27/2020/QĐ-UBND,03/08/2020,Quyết định,13/08/2020,,,,,,UBND tỉnh Ninh Thuận,Phó Chủ tịch,Lê Văn Bình,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
157577,Nghị quyết số 304/2022/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho đối tượng thuộc hộ cận nghèo trên địa bàn tỉnh Thanh Hóa quý IV năm 2022,304/2022/NQ-HĐND,27/08/2022,Nghị quyết,06/09/2022,,,06/09/2022,,Chưa phân loại,HĐND Tỉnh Thanh Hóa,Chủ tịch,Đỗ Trọng Hưng,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
157778,Nghị quyết số 105/2022/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho nhóm đối tượng trên địa bàn tỉnh Nam Định,105/2022/NQ-HĐND,09/12/2022,Nghị quyết,01/01/2023,,,,Lao động - Thương binh và Xã hội,Chưa phân loại,HĐND tỉnh Nam Định,Chủ tịch,Lê Quốc Chỉnh,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
157873,Nghị quyết số 93/2022/NQ-HĐND Quy định chính sách hỗ trợ mua thẻ bảo hiểm y tế cho một số đối tượng tham gia bảo hiểm y tế trên địa bàn tỉnh Cao Bằng giai đoạn 2023-2025,93/2022/NQ-HĐND,09/12/2022,Nghị quyết,01/01/2023,,Bản chính,,Y tế,Chưa phân loại,HĐND Tỉnh Cao Bằng,Chủ tịch,Triệu Đình Lê,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
158024,Nghị quyết số 26/2022/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho người thuộc hộ gia đình cận nghèo giai đoạn 2023-2025 trên địa bàn tỉnh Ninh Thuận,26/2022/NQ-HĐND,09/12/2022,Nghị quyết,20/12/2022,,,,,Chưa phân loại,HĐND tỉnh Ninh Thuận,Chủ tịch,Phạm Văn Hậu,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
158050,"Nghị quyết số 61/2022/NQ-HĐND Quy định mức giá dịch vụ xét nghiệm SARS-CoV-2 không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế cho các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Lai Châu",61/2022/NQ-HĐND,09/12/2022,Nghị quyết,20/12/2022,,Văn bản được gửi đến Sở Tư pháp để thực hiện đăng tải lên cơ sở dữ liệu quốc gia về văn bản quy phạm pháp luật,,Y tế,Chưa phân loại,HĐND Tỉnh Lai Châu,Chủ tịch,Giàng Páo Mỷ,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
158729,Quyết định số 81/2022/QĐ-UBND Quy định mức hỗ trợ đóng bảo hiểm y tế cho người thuộc hộ gia đình cận nghèo giai đoạn 2023-2025 trên địa bàn tỉnh Ninh Thuận,81/2022/QĐ-UBND,24/12/2022,Quyết định,03/01/2023,,,,,Chưa phân loại,UBND tỉnh Ninh Thuận,Phó Chủ tịch,Nguyễn Long Biên,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
159070,"Nghị quyết số 34/2022/NQ-HĐND Quy định việc hỗ trợ đóng bảo hiểm xã hội và bảo hiểm y tế cho ấp (khu) đội trưởng, người hoạt động không chuyên trách ở ấp, khu phố và người trực tiếp tham gia công việc ở ấp, khu phố trên địa bàn tỉnh Kiên Giang",34/2022/NQ-HĐND,29/12/2022,Nghị quyết,09/01/2023,,Công báo tỉnh Kiên Giang,09/01/2023,,Chưa phân loại,HĐND tỉnh Kiên Giang,Chủ tịch,Mai Văn Huỳnh,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
159113,Nghị quyết số 09/2022/NQ-HĐND Quy định giá dịch vụ xét nghiệm SARS-CoV-2 (chưa bao gồm chi phí sinh phẩm xét nghiệm) trong trường hợp không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế đối với các cơ sở y tế công lập trên địa bàn tỉnh Vĩnh Phúc,09/2022/NQ-HĐND,20/07/2022,Nghị quyết,01/08/2022,,,,,Chưa phân loại,HĐND tỉnh Vĩnh Phúc,Chủ tịch,Hoàng Thị Thúy Lan,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
159368,"Thông tư số 20/2022/TT-BYT ban hành Danh mục và tỷ lệ, điều kiện thanh toán đối với thuốc hóa dược, sinh phẩm, thuốc phóng xạ và chất đánh dấu thuộc phạm vi được hưởng của người tham gia bảo hiểm y tế.",20/2022/TT-BYT,31/12/2022,Thông tư,01/03/2023,,,,Y tế,Bảo hiểm y tế,Bộ Y tế,,,,,Hết hiệu lực một phần,bhyt,2026-08-18,Hết hiệu lực một phần
166785,"Nghị quyết số 35/2024/NQ-HĐND Quy định chính sách hỗ trợ đóng Bảo hiểm y tế cho người thuộc hộ gia đình cận nghèo, người thuộc hộ gia đình làm nông nghiệp, lâm nghiệp, ngư nghiệp có mức sống trung bình trên địa bàn tỉnh Quảng Ninh, giai đoạn 2024-2025",35/2024/NQ-HĐND,19/04/2024,Nghị quyết,29/04/2024,,,,Lao động - Thương binh và Xã hội,Chưa phân loại,HĐND Tỉnh Quảng Ninh,,,,,Còn hiệu lực,bhyt,2026-08-18,Còn hiệu lực
161376,"Nghị quyết số 08/2023/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 19/2020/NQ-HĐND ngày 03 tháng 12 năm 2020 của Hội đồng nhân dân tỉnh Quy định mức hỗ trợ đóng bảo hiểm y tế từ ngân sách địa phương cho đối tượng thuộc hộ gia đình cận nghèo; học sinh, sinh viên; người thuộc hộ gia đình làm nông nghiệp, lâm nghiệp, ngư nghiệp và diêm nghiệp có mức sống trung bình trên địa bàn tỉnh",08/2023/NQ-HĐND,12/07/2023,Nghị quyết,01/08/2023,,,,,Chưa phân loại,HĐND tỉnh Bình Thuận,,,,,Còn hiệu lực,bhyt,2026-08-18,Còn hiệu lực
161822,"Quyết định số 38/2023/QĐ-UBND Sửa đổi, bổ sung một số điều của Quyết định số 36/2018/QĐ-UBND ngày 13/6/2018 của Ủy ban nhân dân tỉnh Thừa Thiên Huế quy định mức hỗ trợ kinh phí đóng bảo hiểm y tế và chi phí cùng chi trả đối với thuốc kháng vi rút HIV (ARV) cho người nhiễm HIV/AIDS trên địa bàn tỉnh Thừa Thiên Huế",38/2023/QĐ-UBND,28/07/2023,Quyết định,07/08/2023,,Công báo số 46 năm 2023,04/08/2023,Y tế,Chưa phân loại,UBND tỉnh Thừa Thiên Huế,Phó Chủ tịch,Nguyễn Thanh Bình,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
163811,Nghị quyết số 32/2023/NQ-HĐND Quy định hỗ trợ mức đóng bảo hiểm y tế cho hộ thoát nghèo và hộ thoát cận nghèo trên địa bàn tỉnh Cà Mau đến năm 2025,32/2023/NQ-HĐND,06/12/2023,Nghị quyết,01/01/2024,,BDF,,Y tế,Bảo hiểm y tế,HĐND Tỉnh Cà Mau,Chủ tịch,Nguyễn Tiến Hải,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
163881,Nghị quyết số 18/2023/NQ-HĐND Về việc hỗ trợ một lần và hỗ trợ mức đóng bảo hiểm y tế cho đảng viên được tặng Huy hiệu 40 năm tuổi Đảng trên địa bàn tỉnh Hải Dương,18/2023/NQ-HĐND,08/12/2023,Nghị quyết,18/12/2023,,,,,Chưa phân loại,HĐND tỉnh Hải Dương,,,,,Còn hiệu lực,bhyt,2026-08-18,Còn hiệu lực
172923,Luật Bảo hiểm y tế sửa đổi 2024 số 51/2024/QH15,51/2024/QH15,27/11/2024,Luật,01/07/2025,,,,Y tế,Bảo hiểm y tế,Quốc hội,Chủ tịch Quốc hội,Trần Thanh Mẫn,Trung ương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
164361,"Nghị quyết số 19/2023/NQ-HĐND Quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu tại các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Phú Thọ quản lý",19/2023/NQ-HĐND,12/12/2023,Nghị quyết,08/12/2023,,,,Y tế,Chưa phân loại,HĐND Tỉnh Phú Thọ,,,,,Còn hiệu lực,"bhyt,vien_phi",2026-08-18,Còn hiệu lực
164868,"Nghị quyết số 13/2023/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho đối tượng hộ cận nghèo trên địa bàn tỉnh Thanh Hóa, giai đoạn 2024 -2025",13/2023/NQ-HĐND,14/12/2023,Nghị quyết,01/01/2024,,,,,Chưa phân loại,HĐND Tỉnh Thanh Hóa,,,,,Hết hiệu lực một phần,bhyt,2026-08-18,Hết hiệu lực một phần
165362,"Nghị quyết số 336/2022/NQ-HĐND Quy định mức hỗ trợ từ ngân sách nhà nước đóng bảo hiểm y tế cho người thuộc hộ gia đình nông nghiệp, ngư nghiệp có mức sống trung bình trên địa bàn tỉnh Hưng Yên giai đoạn 2023-2025",336/2022/NQ-HĐND,09/12/2022,Nghị quyết,20/12/2022,,Bản PDF,,Bảo Hiểm,Bảo hiểm y tế,HĐND Tỉnh Hưng Yên,Chủ tịch,Trần Quốc Toản,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
165832,"Quyết định số 48/2023/QĐ-UBND Bãi bỏ Quyết định số 42/2016/QĐ-UBND ngày 28 tháng 10 năm 2016 của Ủy ban nhân dân Thành phố ban hành Quy chế thực hiện liên thông thủ tục hành chính về đăng ký khai sinh, đăng ký thường trú, cấp thẻ bảo hiểm y tế cho trẻ em dưới 06 tuổi và đăng ký khai tử, xóa đăng ký thường trú trên địa bàn Thành phố Hồ Chí Minh",48/2023/QĐ-UBND,20/11/2023,Quyết định,01/12/2023,,bản sao y bản chính,,,Chưa phân loại,UBND Thành phố Hồ Chí Minh,Chủ tịch,Phan Văn Mãi,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
172977,Nghị quyết số 110/2024/NQ-HĐND Bãi bỏ các Nghị quyết của Hội đồng nhân dân tỉnh Gia Lai,110/2024/NQ-HĐND,11/12/2024,Nghị quyết,21/12/2024,,Văn phòng Đoàn đại biểu Quốc hội và Hội đồng nhân dân tỉnh,,Bảo Hiểm,Bảo hiểm y tế,HĐND Tỉnh Gia Lai,Chủ tịch,Hồ Văn Niên,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
166928,Nghị quyết số 288/2022/NQ-HĐND Quy định mức giá dịch vụ xét nghiệm SARS-CoV-2 (chưa bao gồm sinh phẩm xét nghiệm phản ứng) do cơ sở y tế của Nhà nước thực hiện không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trên địa bàn tỉnh Thanh Hoá,288/2022/NQ-HĐND,13/07/2022,Nghị quyết,23/07/2022,,,,,Chưa phân loại,HĐND Tỉnh Thanh Hóa,Chủ tịch,Đỗ Trọng Hưng,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
167138,Nghị quyết số 18/2023/NQ-HĐND Quy định tạm thời mức giá dịch vụ kỹ thuật thụ tinh trong ống nghiệm không thuộc phạm vi thanh toán của Quỹ Bảo hiểm y tế đối với cơ sở y tế công lập trên địa bàn tỉnh Vĩnh Phúc,18/2023/NQ-HĐND,15/12/2023,Nghị quyết,26/12/2023,,,,,Chưa phân loại,HĐND tỉnh Vĩnh Phúc,,,,,Còn hiệu lực,"bhyt,vien_phi",2026-08-18,Còn hiệu lực
167199,Nghị quyết số 06/2024/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế cho người dân tộc thiểu số trên địa bàn tỉnh,06/2024/NQ-HĐND,15/05/2024,Nghị quyết,24/05/2024,,,,,Chưa phân loại,HĐND tỉnh Bình Thuận,,,,,Còn hiệu lực,bhyt,2026-08-13,Còn hiệu lực
167234,"Nghị quyết số 05/2024/NQ-HĐND Sửa đổi khoản 1 Điều 1 Nghị quyết số 19/2022/NQ-HĐND ngày 09 tháng 12 năm 2022 của Hội đồng nhân dân tỉnh quy định mức hỗ trợ đóng bảo hiểm y tế cho người có uy tín trong đồng bào dân tộc thiểu số không thuộc đối tượng đã được ngân sách nhà nước đóng và hỗ trợ mức đóng bảo hiểm y tế trên địa bàn tỉnh Trà Vinh, giai đoạn 2023 - 2025",05/2024/NQ-HĐND,26/02/2024,Nghị quyết,26/02/2024,,,,,Chưa phân loại,HĐND tỉnh Trà Vinh,Chủ tịch,Kim Ngọc Thái,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
183009,Nghị quyết số 10/2013/NQ-HĐND Hỗ trợ kinh phí từ Ngân sách tỉnh để mua Bảo hiểm y tế cho Người cao tuổi trên địa bàn tỉnh Ninh Bình,10/2013/NQ-HĐND,14/10/2013,Nghị quyết,24/10/2013,,,,,Chưa phân loại,HĐND Tỉnh Ninh Bình,Chủ tịch,Nguyễn Tiến Thành,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
167742,"Nghị quyết số 11/2024/NQ-HĐND Quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế nhưng không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Quảng Nam",11/2024/NQ-HĐND,23/04/2024,Nghị quyết,03/05/2024,,,,,Chưa phân loại,HĐND tỉnh Quảng Nam,Phó Chủ tịch,Trần Xuân Vinh,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
167934,"Nghị quyết số 15/2024/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 27/2019/NQ-HĐND ngày 11 tháng 12 năm 2019 của Hội đồng nhân dân tỉnh về hỗ trợ tiền đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi",15/2024/NQ-HĐND,18/06/2024,Nghị quyết,28/06/2024,,,,,Chưa phân loại,HĐND Tỉnh Quảng Ngãi,,,,,Hết hiệu lực,bhyt,2026-08-18,Hết hiệu lực
168478,"NGHỊ QUYẾT SỐ Số: 6/2019/NQ-HĐND QUY ĐỊNH VỀ GIÁ DỊCH VỤ KHÁM BỆNH, CHỮA BỆNH KHÔNG THUỘC PHẠM VI THANH TOÁN CỦA QUỸ BẢO HIỂM Y TẾ TRONG CÁC CƠ SỞ KHÁM BỆNH, CHỮA BỆNH CỦA NHÀ NƯỚC TRÊN ĐỊA BÀN TỈNH BÌNH PHƯỚC",Số: 6/2019/NQ-HĐND,16/12/2019,Nghị quyết,26/12/2019,,,,Y tế,Khám chữa bệnh,HĐND tỉnh Bình Phước,Phó Chủ tịch,Trần Ngọc Trai,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
168516,"Nghị quyết số 31/2024/NQ-HĐND Sửa đổi, bổ sung một số điều và bãi bỏ một phần của Nghị quyết số 18/2019/NQ-HĐND ngày 18 tháng 7 năm 2019 của Hội đồng nhân dân tỉnh quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Kon Tum",31/2024/NQ-HĐND,11/07/2024,Nghị quyết,21/07/2024,,,,,Chưa phân loại,HĐND tỉnh Kon Tum,,,,,Hết hiệu lực,bhyt,2026-08-18,Hết hiệu lực
168588,"Nghị quyết số 26/2024/NQ-HĐND Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục do Quỹ bảo hiểm y tế thanh toán mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu đối với các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Thanh Hóa quản lý",26/2024/NQ-HĐND,31/05/2024,Nghị quyết,10/06/2024,,,,Y tế,Bảo hiểm y tế,CT UBND Tỉnh Thanh Hóa,Chủ tịch,Đỗ Trọng Hưng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
168803,Nghị quyết số 15/2024/NQ-HĐND Quy định chính sách hỗ trợ kinh phí đóng bảo hiểm y tế; chi phí cùng chi trả đối với thuốc kháng HIV cho người nhiễm HIV/AIDS có thẻ bảo hiểm y tế trên địa bàn tỉnh Nghệ An,15/2024/NQ-HĐND,11/07/2024,Nghị quyết,21/07/2024,,,,,Chưa phân loại,HĐND Tỉnh Nghệ An,Chủ tịch,Thái Thanh Quý,Địa phương,,Còn hiệu lực,bhyt,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
